form,res,routes,instantiations,checkMs,tsgoErrors,tscOk,tscCrash,tscErrors
noguard,33,99,0,0,0,true,false,0
noguard,100,300,0,1,0,true,false,0
noguard,200,600,0,2,0,true,false,0
noguard,300,900,0,3,0,true,false,0
f1-naive,33,99,98715,34,0,true,false,0
f1-naive,100,300,693072,252,0,true,false,0
f1-naive,200,600,2582172,1014,0,true,false,0
f1-naive,300,900,5671272,2319,0,false,false,1
f2-flatmap,33,99,102899,27,0,true,false,0
f2-flatmap,100,300,627509,128,0,true,false,0
f2-flatmap,200,600,2212109,441,0,true,false,0
f2-flatmap,300,900,4756709,920,0,true,false,0
f3-perroute,33,99,84563,23,0,true,false,0
f3-perroute,100,300,411322,95,0,true,false,0
f3-perroute,200,600,1299822,287,0,true,false,0
f3-perroute,300,900,2668322,584,0,true,false,0
f4-hybrid,33,99,84596,23,0,true,false,0
f4-hybrid,100,300,411355,94,0,true,false,0
f4-hybrid,200,600,1299855,287,0,true,false,0
f4-hybrid,300,900,2668355,577,0,true,false,0
f5-union,33,99,29444,18,0,true,false,0
f5-union,100,300,83245,78,0,true,false,0
f5-union,200,600,163545,308,0,true,false,0
f5-union,300,900,243845,707,0,true,false,0
